"","Athlete.Name","Team","Rank_800","Rank_1600","Rank_3200","Rank_5k_XC","Total_Score","Best_Event","Second_Best_Event","Avg_Score","Weighted_Avg_Score","Weighted_Total_Score"
"53","Theo Bachmann","Kentucky",0.248826291079812,0.300847457627119,0.78,0.0876288659793814,1.41730261468631,0.78,0.300847457627119,0.354325653671578,0.540423728813559,1.08084745762712
"54","Benson Atkins","Auburn",0.253521126760563,0.635593220338983,0.3,0.242268041237113,1.43138238833666,0.635593220338983,0.3,0.357845597084165,0.467796610169491,0.935593220338983
"55","Mark Foster","Auburn",0.258215962441315,0.254237288135593,0.33,0.304123711340206,1.14657696191711,0.33,0.304123711340206,0.286644240479279,0.317061855670103,0.634123711340206
"56","Tristian Merchant","NAU",0.262910798122066,0.758474576271186,0.945,0.95360824742268,2.91999362181593,0.95360824742268,0.945,0.729998405453983,0.94930412371134,1.89860824742268
"57","Noah Hales","SUU",0.267605633802817,0.0932203389830508,NA,NA,0.360825972785868,0.267605633802817,0.0932203389830508,0.180412986392934,0.180412986392934,0.360825972785868
"58","Tommy Paltzer","Portland",0.272300469483568,0.461864406779661,0.345,0.0463917525773196,1.12555662884055,0.461864406779661,0.345,0.281389157210137,0.40343220338983,0.806864406779661
"59","Chase Leach","Utah State",0.276995305164319,0.38135593220339,0.315,0.45360824742268,1.42695948479039,0.45360824742268,0.38135593220339,0.356739871197597,0.417482089813035,0.83496417962607
"60","Jacob White","Wyoming",0.28169014084507,0.686440677966102,0.415,0.61340206185567,1.99653288066684,0.686440677966102,0.61340206185567,0.499133220166711,0.649921369910886,1.29984273982177
"61","Colton Sands","UNC",0.286384976525822,0.529661016949153,0.485,0.654639175257732,1.95568516873271,0.654639175257732,0.529661016949153,0.488921292183177,0.592150096103442,1.18430019220688
"62","Andrew Kivett","Wake Forest",0.291079812206573,0.224576271186441,0.265,0.319587628865979,1.10024371225899,0.319587628865979,0.291079812206573,0.275060928064748,0.305333720536276,0.610667441072552
"63","Brooks Harlan","Duke",0.295774647887324,0.605932203389831,0.27,NA,1.17170685127715,0.605932203389831,0.295774647887324,0.390568950425718,0.450853425638577,0.901706851277154
"64","Jacob Plummer","Virginia",0.300469483568075,0.661016949152542,0.285,0.479381443298969,1.72586787601959,0.661016949152542,0.479381443298969,0.431466969004897,0.570199196225756,1.14039839245151
"65","Declan Rymer","Virginia Tech",0.305164319248826,0.932203389830508,0.755,0.185567010309278,2.17793471938861,0.932203389830508,0.755,0.544483679847153,0.843601694915254,1.68720338983051
"66","Martin Chavez","Texas",0.309859154929577,0.271186440677966,0.775,0.927835051546392,2.28388064715394,0.927835051546392,0.775,0.570970161788484,0.851417525773196,1.70283505154639
"67","Samuel Ashley","Texas Tech",0.314553990610329,0.283898305084746,0.095,0.618556701030928,1.312008996726,0.618556701030928,0.314553990610329,0.328002249181501,0.466555345820628,0.933110691641256
"68","Jayden House ","TCU",0.31924882629108,NA,NA,NA,0.31924882629108,0.31924882629108,NA,0.31924882629108,0.31924882629108,0.31924882629108
"69","Josh Stern","Florida",0.323943661971831,0.627118644067797,0.385,0.850515463917526,2.18657776995715,0.850515463917526,0.627118644067797,0.546644442489288,0.738817053992661,1.47763410798532
"70","Aiden Villasuso","Florida",0.328638497652582,0.364406779661017,0.14,0.293814432989691,1.12685971030329,0.364406779661017,0.328638497652582,0.281714927575822,0.3465226386568,0.693045277313599
"71","Cooper Bocko","Georgia",0.333333333333333,0.419491525423729,0.535,0.551546391752577,1.83937125050964,0.551546391752577,0.535,0.45984281262741,0.543273195876289,1.08654639175258
"72","Brogan Giffin","Boise State",0.338028169014085,0.690677966101695,0.77,0.494845360824742,2.29355149594052,0.77,0.690677966101695,0.57338787398513,0.730338983050848,1.4606779661017
"73","Anderson Ball","Florida State",0.342723004694836,0.76271186440678,0.9,0.345360824742268,2.35079569384388,0.9,0.76271186440678,0.587698923460971,0.83135593220339,1.66271186440678
"74","Mac Updike","Florida State",0.347417840375587,0.322033898305085,0.595,0.443298969072165,1.70775070775284,0.595,0.443298969072165,0.426937676938209,0.519149484536082,1.03829896907216
"75","Colin Chapman","Wake Forest",0.352112676056338,0.220338983050847,0.125,NA,0.697451659107185,0.352112676056338,0.220338983050847,0.232483886369062,0.286225829553593,0.572451659107185
"76","Vincent Loftis","Wake Forest",0.356807511737089,0.533898305084746,0.6,0.65979381443299,2.15049963125482,0.65979381443299,0.6,0.537624907813706,0.629896907216495,1.25979381443299
"77","Victor Idhammar","Virginia Tech",0.36150234741784,0.0550847457627119,NA,0.123711340206186,0.540298433386738,0.36150234741784,0.123711340206186,0.180099477795579,0.242606843812013,0.485213687624026
"78","Bryce Fisher","TCU",0.366197183098592,0.144067796610169,NA,NA,0.510264979708761,0.366197183098592,0.144067796610169,0.255132489854381,0.255132489854381,0.510264979708761
"79","Collin Jones","Alabama",0.370892018779343,0.406779661016949,0.56,0.412371134020619,1.75004281381691,0.56,0.412371134020619,0.437510703454228,0.486185567010309,0.972371134020619
"80","Jack Williams","Arkansas",0.375586854460094,0.559322033898305,0.565,0.355670103092784,1.85557899145118,0.565,0.559322033898305,0.463894747862796,0.562161016949152,1.1243220338983
"81","Aiden Britt","Ole Miss",0.380281690140845,0.783898305084746,0.87,0.577319587628866,2.61149958285446,0.87,0.783898305084746,0.652874895713614,0.826949152542373,1.65389830508475
"82","Carson Helmer","Missouri",0.384976525821596,0.567796610169492,0.57,0.721649484536082,2.24442262052717,0.721649484536082,0.57,0.561105655131793,0.645824742268041,1.29164948453608
"83","Andy Niser","Vanderbilt",0.389671361502347,0.190677966101695,0.25,0.149484536082474,0.979833863686517,0.389671361502347,0.25,0.244958465921629,0.319835680751174,0.639671361502347
"84","Jack Wallace","LSU",0.394366197183099,0.173728813559322,0.15,NA,0.718095010742421,0.394366197183099,0.173728813559322,0.239365003580807,0.28404750537121,0.568095010742421
"85","Xander Black","Michigan",0.39906103286385,0.639830508474576,0.705,NA,1.74389154133843,0.705,0.639830508474576,0.581297180446142,0.672415254237288,1.34483050847458
"86","Kevin Andrews","Portland",0.403755868544601,0.457627118644068,0.045,0.164948453608247,1.07133144079692,0.457627118644068,0.403755868544601,0.267832860199229,0.430691493594334,0.861382987188669
"87","Ansel Tucker","Gonzaga",0.408450704225352,0.258474576271186,0.015,0.206185567010309,0.888110847506848,0.408450704225352,0.258474576271186,0.222027711876712,0.333462640248269,0.666925280496539
"88","Ethan Vargas","Furman",0.413145539906103,0.0635593220338983,NA,0.396907216494845,0.873612078434847,0.413145539906103,0.396907216494845,0.291204026144949,0.405026378200474,0.810052756400949
"89","Foster Wilfong","Furman",0.417840375586854,0.724576271186441,0.85,0.835051546391753,2.82746819316505,0.85,0.835051546391753,0.706867048291262,0.842525773195876,1.68505154639175
"90","Ryker Holtzen","Wyoming",0.422535211267606,0.313559322033898,0.26,0.134020618556701,1.1301151518582,0.422535211267606,0.313559322033898,0.282528787964551,0.368047266650752,0.736094533301504
"91","Patrick Donnelly","Florida State",0.427230046948357,0.521186440677966,0.72,0.871134020618557,2.53955050824488,0.871134020618557,0.72,0.63488762706122,0.795567010309278,1.59113402061856
"92","Crawford Hope","UNC",0.431924882629108,0.656779661016949,0.42,0.958762886597938,2.467467430244,0.958762886597938,0.656779661016949,0.616866857560999,0.807771273807444,1.61554254761489
