"","Athlete.Name","Team","Rank_800","Rank_1600","Rank_3200","Rank_5k_XC","Total_Score","Best_Event","Second_Best_Event","Avg_Score","Weighted_Avg_Score","Weighted_Total_Score"
"46","Jon Fielding Stogner","Lee",0.25,0.609649122807018,0.50251256281407,1,2.36216168562109,1,0.609649122807018,0.590540421405272,0.804824561403509,1.60964912280702
"47","Max Bowlin","Flagler College",0.255434782608696,0.346491228070175,0.261306532663317,0.336538461538462,1.19977100488065,0.346491228070175,0.336538461538462,0.299942751220162,0.341514844804318,0.683029689608637
"48","Pierce Tapp","COLORADO CHRISTIAN",0.260869565217391,0.12280701754386,0.201005025125628,0.201923076923077,0.786604684809956,0.260869565217391,0.201923076923077,0.196651171202489,0.231396321070234,0.462792642140468
"49","Parker Malone","UCCS",0.266304347826087,0.0789473684210526,NA,0.0144230769230769,0.359674793170217,0.266304347826087,0.0789473684210526,0.119891597723406,0.17262585812357,0.34525171624714
"50","Scott Prieve","UCCS",0.271739130434783,0.328947368421053,0.49748743718593,0.961538461538462,2.05971239758023,0.961538461538462,0.49748743718593,0.514928099395057,0.729512949362196,1.45902589872439
"51","Jacob Zerecero","HUMBOLDT STATE",0.277173913043478,0.574561403508772,0.552763819095477,NA,1.40449913564773,0.574561403508772,0.552763819095477,0.468166378549243,0.563662611302125,1.12732522260425
"52","Luke Walling ","Harding ",0.282608695652174,0.87280701754386,0.78894472361809,NA,1.94436043681412,0.87280701754386,0.78894472361809,0.648120145604708,0.830875870580975,1.66175174116195
"53","Callen Carrier","Michigan Tech ",0.28804347826087,0.368421052631579,0.402010050251256,0.663461538461538,1.72193611960524,0.663461538461538,0.402010050251256,0.430484029901311,0.532735794356397,1.06547158871279
"54","Mason Moore","SOUTHERN INDIANA",0.293478260869565,0.276315789473684,0.120603015075377,0.274038461538462,0.964435526957088,0.293478260869565,0.276315789473684,0.241108881739272,0.284897025171625,0.569794050343249
"55","Jacob Kachadorian","Alabama Huntsville",0.298913043478261,0.548245614035088,NA,0.466346153846154,1.3135048113595,0.548245614035088,0.466346153846154,0.437834937119834,0.507295883940621,1.01459176788124
"56","Kade Bullion","Sioux Falls",0.304347826086957,0.162280701754386,0.206030150753769,0.192307692307692,0.864966370902804,0.304347826086957,0.206030150753769,0.216241592725701,0.255188988420363,0.510377976840725
"57","Dan Gide","Sioux Falls",0.309782608695652,0.232456140350877,0.0351758793969849,0.153846153846154,0.731260782289668,0.309782608695652,0.232456140350877,0.182815195572417,0.271119374523265,0.542238749046529
"58","Avery Stanford","Sioux Falls",0.315217391304348,0.0701754385964912,0.0954773869346734,0.235576923076923,0.716447139912435,0.315217391304348,0.235576923076923,0.179111784978109,0.275397157190635,0.550794314381271
"59","Angel De La Cruz","Fresno Pacific ",0.320652173913043,0.508771929824561,0.256281407035176,0.552884615384615,1.6385901261574,0.552884615384615,0.508771929824561,0.409647531539349,0.530828272604588,1.06165654520918
"60","Ryan Todd","Biola ",0.326086956521739,0.517543859649123,0.743718592964824,0.697115384615385,2.28446479375107,0.743718592964824,0.697115384615385,0.571116198437768,0.720416988790104,1.44083397758021
"61","Christian Fernandez","Flagler College",0.331521739130435,0.381578947368421,0.884422110552764,0.581730769230769,2.17925356628239,0.884422110552764,0.581730769230769,0.544813391570597,0.733076439891767,1.46615287978353
"62","Tristan Fratello","Flagler College",0.33695652173913,0.087719298245614,0.0301507537688442,0.0528846153846154,0.507711189138204,0.33695652173913,0.087719298245614,0.126927797284551,0.212337909992372,0.424675819984744
"63","Adam Berriz","Florida Southern",0.342391304347826,0.333333333333333,NA,0.225961538461538,0.901686176142698,0.342391304347826,0.333333333333333,0.300562058714233,0.33786231884058,0.675724637681159
