"","Team","N_Runers","Total_Score","Avg_Best_Event","Avg_Score","Avg_Weighted_Score","Total_Weighted_Score","Score_800","Avg_800","Score_1600","Avg_1600","Score_3200","Avg_3200","Score_5kXC","Avg_5kXC","Weighted_Score","Weighted_Score_V2"
"17","Gonzaga",8,7.53679936570908,0.408944261849271,0.263027252278304,0.367389054974614,5.75146431621355,NA,NA,NA,NA,NA,NA,NA,NA,1.04877126744977,1.71340787028435
"18","Indiana",4,6.50906823549486,0.85295332481815,0.642938431963439,0.801344945730062,4.75079635012006,NA,NA,NA,NA,NA,NA,2.15463917525773,0.538659793814433,1.31355736945847,1.78870779682756
"19","Iowa",3,3.8340147694953,0.702660406885759,0.469956302716865,0.570256757115196,3.42154054269118,2.10798122065728,0.702660406885759,1.3135593220339,0.437853107344633,NA,NA,NA,NA,0.899443791062266,1.28307770350919
"20","Iowa State",3,6.40533055400374,0.822452056974616,0.585627995456381,0.762055867150014,4.57233520290008,1.8169014084507,0.605633802816901,1.90677966101695,0.635593220338983,NA,NA,1.22164948453608,0.407216494845361,1.26232787591841,1.71462570108753
"21","Kansas",6,5.61879616800342,0.514497115392766,0.248738791520748,0.39560468432159,4.74725621185907,NA,NA,1.42796610169492,0.237994350282486,NA,NA,1.43298969072165,0.238831615120275,0.892047858717822,1.48351756620596
"22","Kansas State",3,5.51703948895774,0.698834115805947,0.459753290746479,0.580165645473595,3.48099387284157,1.52582159624413,0.508607198748044,1.28389830508475,0.427966101694915,1.63,0.543333333333333,1.07731958762887,0.359106529209622,1.06111424059139,1.30537270231559
"23","Kentucky",3,5.36347201269238,0.859777358307923,0.556571817668978,0.716568159612928,4.29940895767757,NA,NA,1.35593220338983,0.451977401129944,NA,NA,1.33505154639175,0.445017182130584,1.1585440534269,1.61227835912909
"24","LSU",3,2.59667710145784,0.436846635367762,0.236336842086554,0.332873780727739,1.99724268436644,1.21596244131455,0.405320813771518,0.580508474576271,0.193502824858757,0.46,0.153333333333333,NA,NA,0.552574785336165,0.748966006637413
"25","Michigan",3,4.89323108140368,0.890712050078247,0.718655650159589,0.749028341423304,4.49417004853983,2.36619718309859,0.788732394366197,1.82203389830508,0.607344632768362,NA,NA,NA,NA,1.20493575325146,1.68531376820244
"26","Michigan State",4,6.61966809242665,0.697183098591549,0.531237727037375,0.601811888278825,4.8144951062306,2.7887323943662,0.697183098591549,1.94067796610169,0.485169491525424,NA,NA,NA,NA,1.20645891219797,1.65498269276677
"27","Minnesota",2,2.77237270087998,0.698322558098899,0.396910366278671,0.586074424589356,2.34429769835742,0.68075117370892,0.34037558685446,0.822033898305085,0.411016949152542,NA,NA,0.819587628865979,0.40979381443299,0.755021476466893,1.02563024303137
"28","Missouri",4,6.03948813739798,0.6869766710227,0.406281367693903,0.617205354557305,4.93764283645844,NA,NA,1.66949152542373,0.417372881355932,1,0.25,1.72680412371134,0.431701030927835,1.08188016599583,1.69731472503259
"29","NAU",5,12.0821021879427,0.899755373056089,0.604105109397136,0.823502099673585,8.23502099673585,1.981220657277,0.396244131455399,3.1271186440678,0.625423728813559,3.515,0.703,3.45876288659794,0.691752577319588,1.87016492271528,2.67638182393915
"30","NC State",4,9.08067023434802,0.774885582350765,0.642217876357979,0.692079389010984,5.53663511208787,2.86854460093897,0.717136150234742,2.54661016949153,0.636652542372881,NA,NA,NA,NA,1.5391301945541,1.90321831978021
"31","Nebraska",1,0.849765258215962,0.849765258215962,0.849765258215962,0.849765258215962,0.849765258215962,0.849765258215962,0.849765258215962,NA,NA,NA,NA,NA,NA,0.849765258215962,0.849765258215962
"32","New Mexico",2,2.25762726220448,0.517746478873239,0.364872252766409,0.478694994827723,1.91477997931089,0.981220657276995,0.490610328638498,0.860169491525424,0.430084745762712,0.375,0.1875,NA,NA,0.615297444152949,0.837716240948516
"33","Notre Dame",1,2.50489869556907,0.728813559322034,0.626224673892267,0.718866873557731,1.43773374711546,0.708920187793427,0.708920187793427,0.728813559322034,0.728813559322034,0.495,0.495,0.572164948453608,0.572164948453608,0.855127630231854,0.898583591947163
"34","Ohio State",3,6.5417733484605,0.73574810835229,0.603275800472355,0.7239726912546,4.3438361475276,NA,NA,1.5635593220339,0.521186440677966,2.08,0.693333333333333,1.70103092783505,0.56701030927835,1.25011447842314,1.62893855532285
"35","Oklahoma",1,1.57908352262799,0.788659793814433,0.526361174209331,0.788659793814433,1.57731958762887,NA,NA,0.275423728813559,0.275423728813559,0.515,0.515,0.788659793814433,0.788659793814433,0.736552856893238,0.985824742268041
"36","Oklahoma State",4,6.99026542269518,0.900275523195671,0.653325595256162,0.789798778546988,6.31839022837591,NA,NA,2.45762711864407,0.614406779661017,NA,NA,NA,NA,1.38579954917587,2.17194664100422
"37","Ole Miss",5,9.73098074321636,0.731460916702967,0.534603585058998,0.692431341617179,6.92431341617179,3.13615023474178,0.627230046948357,2.88983050847458,0.577966101694915,NA,NA,2,0.4,1.53298423353232,2.25040186025583
"38","Oregon",10,19.4072261256982,0.843111438155405,0.65046967696446,0.779053530806834,15.5810706161367,NA,NA,7.32627118644068,0.732627118644068,NA,NA,NA,NA,2.60320202631421,4.4795578021393
"39","Penn State",5,7.6001132650642,0.799161566170276,0.634373748187379,0.772190133051791,6.76415485164467,NA,NA,NA,NA,NA,NA,NA,NA,1.39686282706822,2.27018131270001
"40","Portland",9,5.00161510386801,0.263974772652717,0.15433299815395,0.238672203130966,3.83872876433861,NA,NA,NA,NA,1.44,0.16,NA,NA,0.682917918524863,1.13868634343288
"41","Providence",1,0.61,0.61,0.61,0.61,0.61,NA,NA,NA,NA,0.61,0.61,NA,NA,0.61,0.61
"42","Purdue",2,5.26736813155712,0.890953608247423,0.75430498609925,0.886726804123711,3.54690721649485,NA,NA,1.40254237288136,0.701271186440678,1.765,0.8825,1.59278350515464,0.79639175257732,1.26027074950431,1.55177190721649
"43","Stanford",5,12.5265253293891,0.93,0.73592057889301,0.906866435903557,9.06866435903557,NA,NA,3.76271186440678,0.752542372881356,NA,NA,2.64432989690722,0.528865979381443,1.99261282238542,2.94731591668656
"44","SUU",1,0.360825972785868,0.267605633802817,0.180412986392934,0.180412986392934,0.360825972785868,0.267605633802817,0.267605633802817,0.0932203389830508,0.0932203389830508,NA,NA,NA,NA,0.23333134399618,0.225516232991167
"45","Syrcause",2,3.3258316700834,0.534690721649485,0.449478958760426,0.522345360824742,1.99938144329897,NA,NA,NA,NA,1.02,0.51,NA,NA,0.771198935048347,0.891604381443299
"46","TCU",6,2.86044799872682,0.428012519561815,0.33852716108326,0.33852716108326,2.86044799872682,2.56807511737089,0.428012519561815,NA,NA,NA,NA,NA,NA,0.626513388239039,0.969007370494151
"47","Texas",4,8.05181740510041,0.824742268041237,0.535163496083672,0.747156538889696,5.97725231111756,NA,NA,1.41949152542373,0.354872881355932,2.385,0.59625,3.29896907216495,0.824742268041237,1.40266039576837,2.05468048194666
"48","Texas A&M",3,6.2152159312682,0.694158075601375,0.517934660939016,0.621919227716074,3.73151536629645,1.23943661971831,0.413145539906103,1.64830508474576,0.549435028248588,1.245,0.415,2.08247422680412,0.694158075601375,1.15815215383688,1.39931826236117
"49","Texas Tech",4,4.36800510090656,0.630384540922511,0.348949481295719,0.451958553185852,3.61566842548681,1.44131455399061,0.360328638497653,0.745762711864407,0.186440677966102,NA,NA,NA,NA,0.86342906710752,1.24288602126109
"50","UCLA",3,6.18984824433818,0.81,0.740693568384114,0.794717514124294,4.76830508474576,NA,NA,2.15677966101695,0.718926553672316,2.43,0.81,NA,NA,1.31333160862588,1.78811440677966
"51","UNC",5,14.6084692727394,0.910618556701031,0.730423463636968,0.860539577144854,8.60539577144854,2.43661971830986,0.487323943661972,3.85169491525424,0.770338983050847,3.815,0.763,4.50515463917526,0.901030927835052,2.19030608177283,2.79675362572078
"52","Utah State",5,6.64424044646468,0.581917525773196,0.332212022323234,0.501357242704875,5.01357242704875,0.586854460093897,0.117370892018779,1.11016949152542,0.222033898305085,2.04,0.408,2.90721649484536,0.581443298969072,1.06329706611736,1.62941103879084
"53","Vanderbilt",3,3.21249695857011,0.507897326686349,0.267708079880842,0.407281996676508,2.44369198005905,0.483568075117371,0.161189358372457,0.525423728813559,0.175141242937853,0.92,0.306666666666667,1.28350515463918,0.427835051546392,0.658262666471971,0.916384492522143
"54","Villanova",2,5.30204731505112,0.953389830508475,0.757500516646582,0.882944915254237,3.53177966101695,1.18779342723005,0.593896713615023,1.90677966101695,0.953389830508475,1.625,0.8125,NA,NA,1.29031092203179,1.54515360169492
"55","Virginia",9,20.310346677889,0.714178921029103,0.564176296608027,0.672084315582795,12.0975176804903,3.79342723004695,0.421491914449661,5.54661016949153,0.616290018832392,5.46,0.606666666666667,5.51030927835052,0.612256586483391,2.59879438450455,3.52844265680967
"56","Virginia Tech",9,14.2053308370228,0.737647948120639,0.524815650351611,0.611732607838253,11.0111869410885,5.40845070422535,0.60093896713615,4.34322033898305,0.482580037664783,NA,NA,NA,NA,1.97800008812634,3.21159619115083
"57","Wake Forest",4,5.68617940621772,0.562920478195634,0.478540481011469,0.522612164776181,4.18089731820945,1.92018779342723,0.480046948356808,1.79661016949153,0.449152542372881,NA,NA,NA,NA,1.03305637240576,1.4371834531345
"58","Washington",2,4.67809485897856,0.799427747684781,0.636688039735882,0.785487069718679,3.14194827887472,NA,NA,1.28389830508475,0.641949152542373,1.295,0.6475,1.42783505154639,0.713917525773196,1.10592460483971,1.37460237200769
"59","Wisconsin",2,5.30822517081638,0.99,0.884704195136064,0.967699530516432,3.87079812206573,NA,NA,1.85593220338983,0.927966101694915,1.825,0.9125,NA,NA,1.36917461464967,1.69347417840376
"60","Wyoming",3,3.95242270502273,0.543367549932362,0.352306744099052,0.461488073411053,2.76892844046632,1.22535211267606,0.408450704225352,1.21186440677966,0.403954802259887,NA,NA,0.84020618556701,0.280068728522337,0.788742662524744,1.03834816517487
